__monstartup 1
set_normalized_timespec64 1
put_timespec64 1
exit_to_user_mode_prepare 6
exit_to_user_mode_prepare;fpregs_assert_state_consistent 6
__x64_sys_clock_gettime 6
__x64_sys_clock_gettime;posix_get_monotonic_timespec 6
__x64_sys_clock_gettime;posix_get_monotonic_timespec;ktime_get_ts64 6
__x64_sys_clock_gettime;posix_get_monotonic_timespec;ktime_get_ts64;read_hpet 6
__x64_sys_clock_gettime;posix_get_monotonic_timespec;ktime_get_ts64;read_hpet;fopen 1
__x64_sys_clock_gettime;posix_get_monotonic_timespec;ktime_get_ts64;read_hpet;rcall 1
__x64_sys_clock_gettime;posix_get_monotonic_timespec;ktime_get_ts64;read_hpet;fclose 1
__x64_sys_clock_gettime;posix_get_monotonic_timespec;ktime_get_ts64;__cxa_atexit 1
__x64_sys_clock_gettime;posix_get_monotonic_timespec;ktime_get_ts64;main 1
__x64_sys_clock_gettime;posix_get_monotonic_timespec;ktime_get_ts64;set_normalized_timespec64 3
__x64_sys_clock_gettime;posix_get_monotonic_timespec;set_normalized_timespec64 2
__x64_sys_clock_gettime;posix_get_monotonic_timespec;put_timespec64 3
__x64_sys_clock_gettime;put_timespec64 5
__x64_sys_clock_gettime;exit_to_user_mode_prepare 11
__x64_sys_clock_gettime;exit_to_user_mode_prepare;fpregs_assert_state_consistent 11
__x64_sys_clock_gettime;exit_to_user_mode_prepare;switch_fpu_return 2
__x64_sys_clock_gettime;exit_to_user_mode_prepare;switch_fpu_return;restore_fpregs_from_fpstate 2
__x64_sys_clock_gettime;exit_to_user_mode_prepare;switch_fpu_return;restore_fpregs_from_fpstate;xfd_validate_state 2
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;task_work_run 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;task_work_run;_raw_spin_lock_irq 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;task_work_run;_raw_spin_unlock_irq 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;task_work_run;____fput 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;task_work_run;____fput;__fput 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;task_work_run;__cond_resched 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;mem_cgroup_handle_over_high 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;blkcg_maybe_throttle_current 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;__rseq_handle_notify_resume 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;__rseq_handle_notify_resume;rseq_ip_fixup 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;__rseq_handle_notify_resume;rseq_ip_fixup;rseq_get_rseq_cs 1
__x64_sys_clock_gettime;exit_to_user_mode_prepare;exit_to_user_mode_loop;__rseq_handle_notify_resume;rseq_update_cpu_node_id 1
__x64_sys_clock_gettime;lock_vma_under_rcu 1
__x64_sys_clock_gettime;lock_vma_under_rcu;__rcu_read_lock 1
__x64_sys_clock_gettime;lock_vma_under_rcu;__rcu_read_unlock 1
__x64_sys_clock_gettime;lock_mm_and_find_vma 1
__x64_sys_clock_gettime;lock_mm_and_find_vma;down_read_trylock 1
__x64_sys_clock_gettime;lock_mm_and_find_vma;find_vma 1
__x64_sys_clock_gettime;lock_mm_and_find_vma;find_vma;__rcu_read_lock 1
__x64_sys_clock_gettime;lock_mm_and_find_vma;find_vma;__rcu_read_unlock 1
__x64_sys_clock_gettime;irq_enter_rcu 2
__x64_sys_clock_gettime;__sysvec_irq_work 2
__x64_sys_clock_gettime;__sysvec_irq_work;__wake_up 4
__x64_sys_clock_gettime;__sysvec_irq_work;__wake_up;__wake_up_common_lock 4
__x64_sys_clock_gettime;__sysvec_irq_work;__wake_up;__wake_up_common_lock;_raw_spin_lock_irqsave 4
__x64_sys_clock_gettime;__sysvec_irq_work;__wake_up;__wake_up_common_lock;__wake_up_common 4
__x64_sys_clock_gettime;__sysvec_irq_work;__wake_up;__wake_up_common_lock;__wake_up_common;pollwake 2
__x64_sys_clock_gettime;__sysvec_irq_work;__wake_up;__wake_up_common_lock;_raw_spin_unlock_irqrestore 4
__x64_sys_clock_gettime;irq_exit_rcu 2
__x64_sys_clock_gettime;irq_exit_rcu;idle_cpu 2
__x64_sys_clock_gettime;handle_mm_fault 1
__x64_sys_clock_gettime;handle_mm_fault;__handle_mm_fault 1
__x64_sys_clock_gettime;handle_mm_fault;__handle_mm_fault;handle_pte_fault 1
